id,talep_metni,birim,modul,surec_talep_tipi,oncelik
558,Genel Müdürlük için kırtasiye malzemesi talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
559,Terfi sürecimin ne durumda olduğunu öğrenmek istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Orta
560,Gökhan Bey için yeni bir dahili hat talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
561,İK ofisi paylaşım klasörüne erişim yetkisi rica ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Düşük
562,SGK işe giriş belgemi talep ediyorum.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Düşük
563,"Genel Müdürlük'da faremim çalışmıyor, teknisyen gönderebilir misiniz?",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Kritik
564,"Telefonumda ses gelmiyor, arıza kaydı açmak istiyorum.",Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
565,Ankara ofisi'a yeni bir çalışma masası talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
566,Burak Bey için performans görüşmesi planlanmasını rica ediyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Orta
567,"bu ay içinde itibarıyla izne çıkmak istiyorum, onay rica ederim.",İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Orta
568,Bu dönem hedeflerimin sisteme girilmesi gerekiyor.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Orta
569,"RAM yetersiz kalıyor, faremim için yükseltme talep ediyorum.",Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Düşük
570,Dosyalarımın yedeklenmesini talep ediyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Orta
571,"SSD değişimi için talep açmak istiyorum, faremim çok yavaş.",Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Düşük
572,Yeni başlayanlar için oryantasyon eğitimi planlanmasını istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
573,Mehmet Bey olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
574,Başvuran adayların mülakat sürecini planlamak istiyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Düşük
575,"Lojistik binası için ek personel ihtiyacımız var, ilan açılabilir mi?",İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Düşük
576,Yeni başlayanlar için oryantasyon eğitimi planlanmasını istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
577,Uzaktan çalışırken VPN sürekli kopuyor.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
578,Gökhan Bey adlı misafirim için giriş izni oluşturur musunuz?,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Düşük
579,Glutensiz menü talebinde bulunmak istiyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
580,Ahmet Bey için çıkış işlemlerinin başlatılmasını istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Orta
581,Dahili hattım geçen hafta beri kesik.,Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
582,"Hijyen malzemeleri stoku azaldı, tedarik rica ederim.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
583,15 günlük yıllık izin talebinde bulunmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Orta
584,"Başka bir departmana geçiş yapmak istiyorum, süreç nasıl işliyor?",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Orta
585,Hakan Bey rahatsızlandığı için bugün rapor kullanacak.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Orta
586,Bu dönemki eğitim takvimi hakkında bilgi almak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
587,MS Teams kullanırken sistem kilitleniyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
588,Mehmet Bey'in tamamladığı eğitim sertifikası iletilebilir mi?,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
589,Elif Hanım için bina giriş kartı talep ediyorum.,İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Orta
590,"Başka bir departmana geçiş yapmak istiyorum, süreç nasıl işliyor?",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Düşük
591,İzmir şubesi yazıcısı bağlantı hatası veriyor.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
592,"Genel Müdürlük'da aydınlatma çalışmıyor, karanlıkta kaldık.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Kritik
593,Çağrı merkezi sunucusu için yedekleme planı oluşturulmasını istiyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Yüksek
594,bugün için ziyaretçi girişi talep ediyorum.,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Düşük
595,"Yazıcıdan çıktı alamıyorum, dün beri arızalı.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
596,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Orta
597,bu sabah saat için toplantı ikramı talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
598,Mükremin Bey için VPN erişim talebi açmak istiyorum.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
599,"Excel lisansım süresi doldu, yenilenmesi gerekiyor.",Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Düşük
600,Emre Bey için yeni bir sistem hesabı açılmasını rica ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
601,Hangi eğitimlere katılabileceğimi öğrenmek istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
602,541 TL tutarındaki satınalma talebimin onaylanmasını rica ederim.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
603,Departman değişikliği nedeniyle yeni yetki talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Düşük
604,Hangi eğitimlere katılabileceğimi öğrenmek istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
605,"Şifremi unuttum, sıfırlanmasını rica ediyorum.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Yüksek
606,Zeynep Hanım hakkında 360 derece geri bildirim süreci başlatmak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
607,909 plakalı araçta motor arızası var.,İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Kritik
608,Caner Bey için performans görüşmesi planlanmasını rica ediyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Düşük
609,Depo için kırtasiye malzemesi talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
610,"Elif Hanım olarak internete bağlanamıyorum, acil destek gerekiyor.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Kritik
611,"Burak Bey olarak maaşımda hatalı kesinti olduğunu düşünüyorum, acil inceleme rica ederim.",İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Yüksek
612,SAP sistemine erişim yetkisi talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Düşük
613,"dizüstü bilgisayarım çok yavaş açılıyor, kontrol edilmesini rica ediyorum.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Orta
614,"Dosya sunucusuna erişemiyoruz, yarından itibaren beri sorun var.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Kritik
615,Yeni ekipman alımı için satınalma onayı bekliyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Orta
616,"Giriş kartımı kaybettim, yenisinin çıkarılmasını rica ediyorum.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
617,"faremim çok eski, yükseltme yapılabilir mi?",Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Düşük
618,Mehmet Bey olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
619,Mükremin Bey isimli adayın CV değerlendirmesi yapılabilir mi?,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Düşük
620,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Orta
621,Yöneticimden yazılı geri bildirim talep ediyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
622,"Priz kıvılcım yapıyor, acil müdahale gerekiyor.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Yüksek
623,Adobe Acrobat için güncelleme talebinde bulunuyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Düşük
624,Genel Müdürlük paylaşım klasörüne erişim yetkisi rica ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Düşük
625,Gökhan Bey için unvan değişikliği talep ediyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Düşük
626,"Yazıcı mürekkebi azaldı, tedarik edilmesini rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Düşük
627,Deniz Hanım için yeni bir klavye ve fare talebinde bulunuyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Orta
628,"Satış ofisi sunucusu yanıt vermiyor, acil kontrol gerekiyor.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Kritik
629,"Başka bir departmana geçiş yapmak istiyorum, süreç nasıl işliyor?",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Düşük
630,Terfi sürecimin ne durumda olduğunu öğrenmek istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Orta
631,Hakan Bey adlı misafirim için giriş izni oluşturur musunuz?,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Orta
632,Geçmiş aylara ait bordro dökümü talep ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
633,"Sağlık raporum var, sisteme işlenmesini rica ediyorum.",İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Orta
634,Uzaktan çalışırken VPN sürekli kopuyor.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
635,"Genel Müdürlük'da dokunmatik ekranım çalışmıyor, teknisyen gönderebilir misiniz?",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Kritik
636,Gökhan Bey için yeni bir sistem hesabı açılmasını rica ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
637,Ankara ofisi'a yeni bir çalışma masası talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Orta
638,Yurt dışı hattı açılması için talep oluşturuyorum.,Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Düşük
639,Burak Bey hakkında 360 derece geri bildirim süreci başlatmak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
640,Hakan Bey olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
641,"İş telefonumun hattı arızalı, yenisi gerekiyor.",Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Orta
642,"Klimadan su damlıyor, acil kontrol rica ederim.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Orta
643,Onaylanan iznimi iptal etmek istiyorum.,İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Orta
644,2. kat toplantı salonu için ek bir monitör talep ediyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Orta
645,dün saat için toplantı ikramı talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
646,bugün saat için toplantı ikramı talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
647,Glutensiz menü talebinde bulunmak istiyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
648,Emre Bey'in tamamladığı eğitim sertifikası iletilebilir mi?,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
649,İkametgah için işyerinden yazı almam gerekiyor.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Orta
650,"2. kat toplantı salonu'daki klima çalışmıyor, çok sıcak/soğuk oluyor.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Orta
651,"İstifa dilekçemi iletmek istiyorum, süreç hakkında bilgi rica ederim.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Orta
652,Merve Hanım olarak 5 gün izin kullanmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Orta
653,Selin Hanım'e SAP için kullanıcı hesabı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
654,"Ali Bey olarak monitörüm bozuldu, talep açmak istiyorum.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Orta
655,"faremim sürekli donuyor, yarından itibaren beri böyle.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Yüksek
656,Ali Bey adlı misafirim için giriş izni oluşturur musunuz?,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Orta
657,Ali Bey hakkında 360 derece geri bildirim süreci başlatmak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
658,"Klimadan su damlıyor, acil kontrol rica ederim.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Yüksek
659,"VPN'e bağlanamıyorum, bu sabah beri hata alıyorum.",Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
660,"İzmir şubesi'da yazıcım çalışmıyor, teknisyen gönderebilir misiniz?",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Yüksek
661,Emre Bey için yeni bir dahili hat talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
662,Bu dönem hedeflerimin sisteme girilmesi gerekiyor.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Orta
663,Selin Hanım rahatsızlandığı için bugün rapor kullanacak.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Yüksek
664,"İstifa dilekçemi iletmek istiyorum, süreç hakkında bilgi rica ederim.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Yüksek
665,Kocaeli fabrikası'a yeni telefon hattı çekilmesini istiyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
666,"Telefonumda ses gelmiyor, arıza kaydı açmak istiyorum.",Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
667,Saha çalışması için bir araca ihtiyacımız var.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Düşük
668,Depo için servis saatleri hakkında bilgi almak istiyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Orta
669,553 TL tutarındaki satınalma talebimin onaylanmasını rica ederim.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Orta
670,3. kat yazıcısı bağlantı hatası veriyor.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Orta
671,"Fatma Hanım'in görev tanımı güncellenecek, talep açıyorum.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Orta
672,Emre Bey için yeni bir dahili hat talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
673,Ofisimizde genel temizlik ihtiyacı var.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Düşük
674,Ofisimizde genel temizlik ihtiyacı var.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Orta
675,Hakan Bey hakkında 360 derece geri bildirim süreci başlatmak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
676,"Sunucu çok yavaş çalışıyor, tüm ekip etkilendi.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Yüksek
677,"Deniz Hanım izin gününü ertelemek istiyor, işlem yapılabilir mi?",İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Orta
678,"Ankara ofisi'daki yazıcının toneri bitti, yenisi gerekiyor.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Düşük
679,Bu dönemki eğitim takvimi hakkında bilgi almak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
680,2. kat toplantı salonu'da Wi-Fi şifresini alabilir miyim?,Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Orta
681,"Klimadan su damlıyor, acil kontrol rica ederim.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Yüksek
682,Gökhan Bey için ofis koltuğu değişimi rica ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Orta
683,Su baskını sonrası acil temizlik talep ediyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Orta
684,Bilgisayarıma yeni yazıcı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Düşük
685,"Excel dosyalarımı kaydetmiyor, acil bakılabilir mi?",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Yüksek
686,Hangi eğitimlere katılabileceğimi öğrenmek istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
687,"Merve Hanım'in kartı çalındı, iptal edilip yenisi verilmeli.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Orta
688,"MS Teams şifremi sıfırlamam gerekiyor, acil.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Orta
689,Ahmet Bey için bina giriş kartı talep ediyorum.,İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Düşük
690,"Yazıcı mürekkebi azaldı, tedarik edilmesini rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Düşük
691,Aday hakkında önceki işyerinden referans teyidi istiyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
692,Bu dönem hedeflerimin sisteme girilmesi gerekiyor.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Orta
693,"Depo'daki lavabo tıkalı, su akmıyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
694,Ali Bey için unvan değişikliği talep ediyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Orta
695,Mükremin Bey için şirket telefonu talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Orta
696,İkametgah için işyerinden yazı almam gerekiyor.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Orta
697,Ankara ofisi için servis saatleri hakkında bilgi almak istiyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Düşük
698,Adobe Acrobat kullanırken sistem kilitleniyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
699,Elif Hanım ile birlikte hedef belirleme toplantısı planlamak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Düşük
700,"Yazıcıdan çıktı alamıyorum, bugün beri arızalı.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
701,Hakan Bey isimli adayın CV değerlendirmesi yapılabilir mi?,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Orta
702,Bilgisayarıma bordro yazılımı kurulmasını istiyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Orta
703,"faremim sürekli donuyor, yarından itibaren beri böyle.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Yüksek
704,"CRM uygulaması şifremi sıfırlamam gerekiyor, acil.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Orta
705,Mükremin Bey için çıkış işlemlerinin başlatılmasını istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Yüksek
706,"İnsan Kaynakları katı'da aydınlatma çalışmıyor, karanlıkta kaldık.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Kritik
707,Terfi sürecimin ne durumda olduğunu öğrenmek istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Düşük
708,İnsan Kaynakları katı'a yeni bir çalışma masası talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
709,"dokunmatik ekranım açılmıyor, bir arıza var galiba.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Kritik
710,Zeynep Hanım'in bilgisayarının donanımının yenilenmesini rica ediyoruz.,Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Orta
711,10 günlük istirahat raporumu iletiyorum.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Orta
712,"Şirket aracında lastik patlaması oldu, acil destek gerekiyor.",İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Kritik
713,Ankara ofisi'daki toplantı için kahve ve su talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
714,Mehmet Bey'in tamamladığı eğitim sertifikası iletilebilir mi?,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
715,"Giriş kartımı kaybettim, yenisinin çıkarılmasını rica ediyorum.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Orta
716,Toplantı öncesi 2. kat toplantı salonu'un özel olarak temizlenmesini istiyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Orta
717,Ankara ofisi için kırtasiye malzemesi talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
718,Caner Bey olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Düşük
719,"Hijyen malzemeleri stoku azaldı, tedarik rica ederim.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
720,CRM uygulaması sistemine erişim yetkisi talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Düşük
721,Aday hakkında önceki işyerinden referans teyidi istiyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
722,Depo'a yeni bir çalışma masası talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
723,Elif Hanım olarak bordro yazılımı kullanırken hata kodu alıyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Yüksek
724,Ana bina'daki toplantı için kahve ve su talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
725,İnsan Kaynakları katı temizliğinin yapılmasını rica ediyorum.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Düşük
726,Elif Hanım için performans görüşmesi planlanmasını rica ediyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Düşük
727,Depo'da yeni alınan yazıcının kurulumu yapılabilir mi?,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Orta
728,Zeynep Hanım için VPN erişim talebi açmak istiyorum.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
729,Ayşe Hanım için çıkış işlemlerinin başlatılmasını istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Yüksek
730,Hangi eğitimlere katılabileceğimi öğrenmek istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
731,Sunucu kaynakları yetersiz kalıyor gibi görünüyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
732,CRM uygulaması için güncelleme talebinde bulunuyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
733,Servis güzergahına yeni bir durak eklenmesini rica ediyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Düşük
734,Tuvalet kağıdı ve kağıt havlu talep ediyorum.,İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
735,Bu dönemki eğitim takvimi hakkında bilgi almak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
736,Lojistik binası'daki halı yıkama talebinde bulunuyorum.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Düşük
737,"Zeynep Hanım'in kartı çalındı, iptal edilip yenisi verilmeli.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
738,Genel Müdürlük sunucusu için yedekleme planı oluşturulmasını istiyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Yüksek
739,"Zeynep Hanım'in görev tanımı güncellenecek, talep açıyorum.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Düşük
740,Çağrı merkezi'a yeni bir çalışma masası talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Orta
741,Projemiz için 2 adet ek bilgisayar temin edilebilir mi?,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Orta
742,Başvuran adayların mülakat sürecini planlamak istiyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Orta
